Ad Name,Ad Status,Campaign Name,Ad Set Name,Body,Title,Link Description,Call To Action,Website URL,Image File Name
PLUSH-LEM-01-Social-Proof,Active,Nancy Universe — Plushies,Plush Lem — Prospecting,"Over 500K+ sold worldwide. Meet Lem — the plushie that started a whole universe. Super soft, machine washable, and obsessively designed down to the embroidered face. 25cm of pure serotonin.",The Plushie That Started It All,Shop Nancy,SHOP_NOW,https://rsquaredboi.github.io/nancy-universe/pages/products/plush-lem.html,plush-lem-hero.png
PLUSH-LEM-02-Gift-Angle,Active,Nancy Universe — Plushies,Plush Lem — Prospecting,"Looking for a gift that actually means something? Lem arrives in a custom gift box, ready to make someone's entire week. No wrapping needed — we already did that part.",Gift-Ready in One Click,Shop Now,SHOP_NOW,https://rsquaredboi.github.io/nancy-universe/pages/products/plush-lem.html,plush-lem-lifestyle-bed.png
PLUSH-LEM-03-Scarcity,Active,Nancy Universe — Plushies,Plush Lem — Prospecting,"We make each plushie in small batches of 500 to keep quality obsessive and waste minimal. Once this batch sells out, the next one is 6-8 weeks away. Just saying.",Small Batches. Big Feelings.,Shop Nancy,SHOP_NOW,https://rsquaredboi.github.io/nancy-universe/pages/products/plush-lem.html,plush-lem-in-hand.png
PLUSH-LEM-04-Emotional,Active,Nancy Universe — Plushies,Plush Lem — Prospecting,"Some things just make you feel better. Lem sits on your desk, your bed, your shelf — and every time you look at it, you smile. That's not an accident. That's design.",Designed to Make You Smile,Shop Now,SHOP_NOW,https://rsquaredboi.github.io/nancy-universe/pages/products/plush-lem.html,plush-lem-flatlay.png
PLUSH-BERRI-01-Social-Proof,Active,Nancy Universe — Plushies,Plush Berri — Prospecting,"Sweet but fierce. Berri is the plushie for everyone who's soft on the inside and bold on the outside. Super soft polyester, embroidered face, and ready for anything.",Meet Berri. Sweet & Fierce.,Shop Nancy,SHOP_NOW,https://rsquaredboi.github.io/nancy-universe/pages/products/plush-berri.html,plush-berri-hero.png
PLUSH-BERRI-02-Personality,Active,Nancy Universe — Plushies,Plush Berri — Prospecting,"Berri energy: loyal, a little sassy, always shows up. If your friend group has that one person everyone loves — that's Berri. Now in plushie form.",The Friend Everyone Needs,Shop Now,SHOP_NOW,https://rsquaredboi.github.io/nancy-universe/pages/products/plush-berri.html,plush-berri-lifestyle-bed.png
PLUSH-AVO-01-Zen,Active,Nancy Universe — Plushies,Plush Avo — Prospecting,"Need a moment of calm? Avo is your grounding buddy. Zen vibes, super soft, and always chill. The plushie equivalent of a deep breath.",Meet Avo. Calm & Grounding.,Shop Nancy,SHOP_NOW,https://rsquaredboi.github.io/nancy-universe/pages/products/plush-avo.html,plush-avo-hero.png
PLUSH-AVO-02-Wellness,Active,Nancy Universe — Plushies,Plush Avo — Prospecting,"In a world that's always on, Avo reminds you to slow down. Designed with obsessive softness and a face that says 'you're doing great.' Self-care, but make it plushie.",Your Self-Care Sidekick,Shop Now,SHOP_NOW,https://rsquaredboi.github.io/nancy-universe/pages/products/plush-avo.html,plush-avo-flatlay.png
PLUSH-PIXIE-01-Playful,Active,Nancy Universe — Plushies,Plush Pixie — Prospecting,"Tiny but mighty. Pixie is for the mischief-makers, the ones who color outside the lines, the energy that enters a room and changes it. 25cm of pure chaos magic.",Meet Pixie. Tiny But Mighty.,Shop Nancy,SHOP_NOW,https://rsquaredboi.github.io/nancy-universe/pages/products/plush-pixie.html,plush-pixie-hero.png
PLUSH-PIXIE-02-Fun,Active,Nancy Universe — Plushies,Plush Pixie — Prospecting,"Every squad needs a Pixie. Mischievous, playful, and impossible not to love. Super soft polyester, embroidered details, and vibes that don't quit.",The Chaos You Need,Shop Now,SHOP_NOW,https://rsquaredboi.github.io/nancy-universe/pages/products/plush-pixie.html,plush-pixie-in-hand.png
PLUSH-LOLLY-01-Sweet,Active,Nancy Universe — Plushies,Plush Lolly — Prospecting,"Sweet on everyone. Lolly is the plushie that gives the best hugs, remembers your birthday, and always has snacks. Bubbly, social, and radiating warmth.",Meet Lolly. Sweet on Everyone.,Shop Nancy,SHOP_NOW,https://rsquaredboi.github.io/nancy-universe/pages/products/plush-lolly.html,plush-lolly-hero.png
PLUSH-LOLLY-02-Social,Active,Nancy Universe — Plushies,Plush Lolly — Prospecting,"Lolly is the friend who makes everyone feel included. Bubbly energy, super soft construction, and a face you can't help but love. Made in batches of 500.",The Social Butterfly Plushie,Shop Now,SHOP_NOW,https://rsquaredboi.github.io/nancy-universe/pages/products/plush-lolly.html,plush-lolly-flatlay.png
PLUSH-COLLECTION-01-Overview,Active,Nancy Universe — Plushies,All Plushies — Prospecting,"5 characters. 5 personalities. One universe. Meet the Original Five — Lem, Berri, Avo, Pixie & Lolly. Each one handcrafted, machine washable, and designed to make your day.",The Original Five,Shop All,SHOP_NOW,https://rsquaredboi.github.io/nancy-universe/pages/collections/plushies.html,plush-collection-group.png
