Ad Name,Primary Text,Headline,Description,Link Description,Call to Action,Website URL,Image Filename
PLUSH-LEM-01-Social-Proof,"Over 500K+ sold worldwide. Meet Lem — the plushie that started a whole universe. Super soft, machine washable, and obsessively designed down to the embroidered face. 25cm of pure serotonin.",The Plushie That Started It All,Nancy's #1 best seller. Handcrafted. Obsessively soft.,Shop Nancy,SHOP_NOW,https://rsquaredboi.github.io/nancy-universe/pages/products/plush-lem.html,plush-lem-hero.png
PLUSH-LEM-02-Gift-Angle,"Looking for a gift that actually means something? Lem arrives in a custom gift box, ready to make someone's entire week. No wrapping needed — we already did that part.",Gift-Ready in One Click,The gift they didn't know they needed. Ships tomorrow.,Shop Now,SHOP_NOW,https://rsquaredboi.github.io/nancy-universe/pages/products/plush-lem.html,plush-lem-lifestyle-bed.png
PLUSH-LEM-03-Scarcity,"We make each plushie in small batches of 500 to keep quality obsessive and waste minimal. Once this batch sells out, the next one is 6-8 weeks away. Just saying.",Small Batches. Big Feelings.,Only 500 per batch. Handcrafted. Machine washable.,Shop Nancy,SHOP_NOW,https://rsquaredboi.github.io/nancy-universe/pages/products/plush-lem.html,plush-lem-in-hand.png
PLUSH-LEM-04-Emotional,"Some things just make you feel better. Lem sits on your desk, your bed, your shelf — and every time you look at it, you smile. That's not an accident. That's design.",Designed to Make You Smile,25cm of handcrafted serotonin. Machine washable.,Shop Now,SHOP_NOW,https://rsquaredboi.github.io/nancy-universe/pages/products/plush-lem.html,plush-lem-flatlay.png
PLUSH-BERRI-01-Social-Proof,"Sweet but fierce. Berri is the plushie for everyone who's soft on the inside and bold on the outside. Super soft polyester, embroidered face, and ready for anything.",Meet Berri. Sweet & Fierce.,Nancy's fan-favorite. Handcrafted. Obsessively soft.,Shop Nancy,SHOP_NOW,https://rsquaredboi.github.io/nancy-universe/pages/products/plush-berri.html,plush-berri-hero.png
PLUSH-BERRI-02-Personality,"Berri energy: loyal, a little sassy, always shows up. If your friend group has that one person everyone loves — that's Berri. Now in plushie form.",The Friend Everyone Needs,Sweet but fierce. 25cm. Machine washable.,Shop Now,SHOP_NOW,https://rsquaredboi.github.io/nancy-universe/pages/products/plush-berri.html,plush-berri-lifestyle-bed.png
PLUSH-AVO-01-Zen,"Need a moment of calm? Avo is your grounding buddy. Zen vibes, super soft, and always chill. The plushie equivalent of a deep breath.",Meet Avo. Calm & Grounding.,The zen plushie. Handcrafted. Machine washable.,Shop Nancy,SHOP_NOW,https://rsquaredboi.github.io/nancy-universe/pages/products/plush-avo.html,plush-avo-hero.png
PLUSH-AVO-02-Wellness,"In a world that's always on, Avo reminds you to slow down. Designed with obsessive softness and a face that says 'you're doing great.' Self-care, but make it plushie.",Your Self-Care Sidekick,Zen vibes. Super soft. Ships in a custom gift box.,Shop Now,SHOP_NOW,https://rsquaredboi.github.io/nancy-universe/pages/products/plush-avo.html,plush-avo-flatlay.png
PLUSH-PIXIE-01-Playful,"Tiny but mighty. Pixie is for the mischief-makers, the ones who color outside the lines, the energy that enters a room and changes it. 25cm of pure chaos magic.",Meet Pixie. Tiny But Mighty.,The plushie that matches your energy. Handcrafted.,Shop Nancy,SHOP_NOW,https://rsquaredboi.github.io/nancy-universe/pages/products/plush-pixie.html,plush-pixie-hero.png
PLUSH-PIXIE-02-Fun,"Every squad needs a Pixie. Mischievous, playful, and impossible not to love. Super soft polyester, embroidered details, and vibes that don't quit.",The Chaos You Need,Mischievous energy. 25cm. Machine washable.,Shop Now,SHOP_NOW,https://rsquaredboi.github.io/nancy-universe/pages/products/plush-pixie.html,plush-pixie-in-hand.png
PLUSH-LOLLY-01-Sweet,"Sweet on everyone. Lolly is the plushie that gives the best hugs, remembers your birthday, and always has snacks. Bubbly, social, and radiating warmth.",Meet Lolly. Sweet on Everyone.,The warmest plushie in the universe. Handcrafted.,Shop Nancy,SHOP_NOW,https://rsquaredboi.github.io/nancy-universe/pages/products/plush-lolly.html,plush-lolly-hero.png
PLUSH-LOLLY-02-Social,"Lolly is the friend who makes everyone feel included. Bubbly energy, super soft construction, and a face you can't help but love. Made in batches of 500.",The Social Butterfly Plushie,Bubbly. Warm. 25cm of pure joy. Ships tomorrow.,Shop Now,SHOP_NOW,https://rsquaredboi.github.io/nancy-universe/pages/products/plush-lolly.html,plush-lolly-flatlay.png
PLUSH-COLLECTION-01-Overview,"5 characters. 5 personalities. One universe. Meet the Original Five — Lem, Berri, Avo, Pixie & Lolly. Each one handcrafted, machine washable, and designed to make your day.",The Original Five,5 plushies. 5 personalities. One obsessively soft universe.,Shop All,SHOP_NOW,https://rsquaredboi.github.io/nancy-universe/pages/collections/plushies.html,plush-collection-group.png
PLUSH-COLLECTION-02-Gift,"The ultimate gift for the person who has everything: a plushie with actual personality. Each one arrives in a custom Nancy box. No gift wrap needed.",The Gift That Gets It,5 characters. Custom gift boxes. Ships tomorrow.,Shop All,SHOP_NOW,https://rsquaredboi.github.io/nancy-universe/pages/collections/plushies.html,plush-collection-group.png
PLUSH-COLLECTION-03-Collect,"Start your collection. Then try to stop. (You won't.) 120+ plushies across 10 waves — from the OG Five to Food Squad, Cosmic, Feelings, and beyond.",120+ Plushies. Good Luck Choosing.,The universe keeps expanding. Start collecting.,Shop All,SHOP_NOW,https://rsquaredboi.github.io/nancy-universe/pages/collections/plushies.html,plush-collection-group.png
FASHION-OVERVIEW-01-Drop,"Nancy isn't just plushies. We make clothes that feel like your favorite character came to life. Tees, hoodies, accessories — all designed with the same obsessive detail.",Fashion by Nancy,100+ pieces. Same obsessive detail. New drops weekly.,Shop Fashion,SHOP_NOW,https://rsquaredboi.github.io/nancy-universe/pages/collections/fashion.html,fashion-collection-flatlay.png
